序号,内容
1,主角真的很像我堂弟
2,麻了
3,真人造型不能这么搞
4,动画人物可以
5,主为了这个商单也是脸都不要了啊
6,难得啊
7,这种现实题材多少年都不拍了
8,五条人的道山靓仔
9,不用重复那么多
10,我看魔童就受不了了
11,那不看了
12,青蛇就是辣鸡
13,我知道好
14,但是那种少年冲动热血
15,我已经很难再
16,每天就是上班下班
17,也就图一乐
18,佳片是真的
19,做这种狮头玩偶
20,他们也得不到版权保护的
21,收益不会太高
22,好红红火火恍恍惚惚
23,收钱了吧你
24,哈哈哈哈哈哈哈哈哈哈哈哈哈
25,不得不说白蛇
26,还是不错的
27,哈哈哈哈啊这
28,什么叫国际化审美
29,导演如果外国人
30,国内早就骂上天了
31,南派狮子
32,排面
33,哪吒
34,就这故事能激动啥
35,尚气
36,女主表示很淦
37,那是客家话
38,采青
39,狮头制作好后需要点睛
40,主还是做好功夫吧
41,哈哈哈哈哈哈哈
42,减在一起好魔幻啊
43,我觉得挺有特色的啊
44,看一眼就记住了
45,带节奏的心里绝对不是中国人
46,就冲着这点我就喜欢了
47,有宫崎骏电影的味道
48,他妈妈叫他回去的时候才是真的绷不住
49,忙完订房
50,雄狮一定要等我考研完啊
51,我觉得哪吒不好看
52,早他妈腻了
53,连游戏都是黑悟空
54,我是真的不想看到猴子相关的
55,哪吒和白蛇那种大眼睛才是典型的欧美动画片造型
56,毫无中国风美感
57,我周末就去看
58,是我了
59,白蛇
60,真的
61,德不配位就是说
62,我乱用词骂我就是你对
63,关键是
64,有一两个可以理解
65,一水儿的都
66,丧气难道是因为拍得很烂才被抵制的么
67,可恶
68,明天就去看好了
69,有没有一起的
70,福州
71,这不是正常人眼睛比例大小么
72,但是天书奇谭不是眯眯眼
73,不要混为一谈
74,但是天书奇谭不是眯眯眼
75,古画的细长演和西方搞的眯眯眼两回事
76,哈哈哈哈哈哈哈哈
77,九连真人
78,哪吒魔童降世就算了
79,一股尴尬的中二气息
80,所以
81,可能是走得是类似皮克斯动画的路线
82,追求的是好故事
83,普世价值
84,不是那么商业化
85,工业化
86,来佛山买
87,什么款式都有
88,因人设问题怕外国人笑话处处冷嘲热讽
89,耗时耗力耗钱选冷门题材宣扬中华传统文化
90,我更希望能独创新的世界观来讲故事
91,当然这个不是一蹴而就
92,天书奇谈男主是豆豆眼也是狐狸
93,天师眼睛细长也是狐狸
94,眯眯眼动画也能吹
95,还十佳
96,别侮辱动画了
97,先做好建模吧
98,那这不就是双标吗
99,这
100,不算剧透
101,因为狮子眼睛大
102,周末去支持
103,个人认为
104,档期就差一个月
105,只看得见哪吒看不见罗小黑
106,都是不公正的
107,真人能有这种力气跳起的明星不多
108,看过的回来说一句真的很好看
109,有五条人
110,九联真人吧
111,这是
112,狮头玩具也不需要他这电影带货啊
113,我觉得卖狮头手办就挺好
114,说外形问题
115,真的是忘本
116,青蛇算是能打的了
117,同期电影实在不行
118,可天书奇谭那个是狐狸啊
119,所以眼睛细长
120,好想看呀
121,可惜在伦敦
122,我觉得角色还行啊
123,企
124,这个狮子可以做周边呀
125,也是
126,九连真人
127,方向错了
128,实拍不是更好吗
129,不觉得是缺点
130,反而在一众锥子脸大眼睛的画风里脱颖而出
131,不服憋着
132,白蛇那种爆米花一边呆着
133,果然发条
134,这音乐广
135,人
136,动了
137,个人觉得可以啊
138,有点特色
139,白蛇
140,故事实在太拉了
141,这眼没法看
142,看完点映了
143,很棒
144,非常惊喜了
145,现在还上映吗
146,之前都没听过这个片子的消息
147,哪吒
148,看到开头就知道结尾
149,上一个让我看了如此激动的动画电影
150,没有
151,美术风格不行
152,这是东南亚的团队吗
153,别光盯着外表也要看内核
154,鼽
155,新广州人明天就去看
156,虽然广州佛山醒狮是吃了经济的红利而出名
157,农村场景就是我家农村的样子
158,蓝色的狮头也好看
159,神
160,天书奇谭丹凤眼
161,敢情你不喜欢的就是眯眯眼
162,你喜欢的就是丹凤眼
163,根据你的立场反复横跳是吧
164,都去看
165,说尚气的时候你可不是这么说的
166,建模没特色就是纯粹考虑宣传的问题了
167,跟电影本身没啥关系
168,奥卡菲娜
169,双标还是你们在行
170,说眼睛的
171,这部电影画风偏写实
172,你要喜欢那种眼睛比例巨大的
173,你去看日漫
174,所以眯眯眼不配做中国人
175,有些人真的魔怔了
176,嫌大嗓门
177,特别中二
178,尴尬的一身鸡皮疙瘩
179,这眯眯眼像只猴子
180,最喜欢里面的
181,们
182,对
183,就很疲惫但还不能不支持怕越做越烂
184,天书是好看的眯眯眼
185,你觉得你说的这部眯眯眼好看
186,眯眯眼都是怪物
187,市丸银
188,诸葛青
189,我真觉得建模挺好看的
190,佛山人表示太熟悉了
191,我就是在这种环境中长大的
192,一样
193,哪吒剧情确实老套
194,但是不妨碍他好看啊
195,说一般的那个你啥也不是哈
196,感觉是好片
197,魔童降世真的无聊
198,五条人
199,椅子乐团
200,九连
201,爱了爱了
202,道山靓仔
203,哈哈哈哈哈哈
204,俅
205,广州人明天下班就去看
206,哈哈哈哈哈啊哈
207,我巨巨巨期待
208,乏善可陈过分了
209,恰恰还是有一些的善可以陈的
210,冲
211,青蛇尬死了
212,造型挺好看的
213,觉得挺可爱的啊
214,为什么要给某种外貌硬套政治色彩后排挤
215,这配音有点一言难尽
216,黄飞鸿之狮王争霸
217,九连九连
218,广东人想睇了
219,当初引导网暴
220,的何止一个
221,我也不懂了
222,个个都是老内娱研究者了
223,不知道小春哥和
224,是好朋友
225,啊这
226,那我觉得不好看了
227,我可能是
228,站唯一一个讨厌哪吒的人了
229,优秀
230,轩邈这么安静地点评真的很难得
231,我就奇怪了
232,眯眯眼怎么你们了
233,就不能说眯眯眼了
234,眯眯眼都是超厉害的好吗
235,哈哈哈哈哈哈哈哈哈哈哈哈哈哈
236,那不是炊烟
237,是农民在烧禾秆草
238,乇
239,哈哈哈哈
240,侇
241,我很担心
242,青蛇拉踩很不爽
243,哈哈哈哈哈哈
244,这段我差点看哭
245,这个狮头我真滴喜欢
246,好的
247,明天就去看
248,就是这样要多多挖掘传统文化
