序号,内容
1,糼
2,而且我寻思由原著漫画
3,为啥电影要专门把漫画形象改成这样
4,絼
5,抛开眯眯不谈
6,狮头颜色都搞错还弘扬传统文化
7,不了解南狮黄飞鸿总看过吧
8,雄狮让我们丧失了
9,审美
10,话语权
11,也没人长得像迪士尼啊
12,别的省我不知道啊
13,反正我广东省大部分知道了的应该不会看
14,所有人
15,都是这样的眼睛
16,难以原谅
17,笽
18,拿了多少钱
19,被锁分了
20,挺好的电影
21,国漫能把故事讲成这样已经不错了
22,你们别黑了
23,我刚刚带小孩看完
24,只想说
25,但凡去影院看了
26,不会再纠结这么无聊的问题
27,雄狮真的值得
28,这种木偶戏
29,哪吒搞一次就够了
30,取关
31,自古以来最可恨的不是敌人而是叛徒
32,自古以来最可恨的不是敌人而是叛徒
33,自古以来最可恨的不是敌人而是叛徒
34,三次观影
35,怕不是绞尽脑汁洗
36,呵呵
37,楚
38,自古以来最可恨的不是敌人而是叛徒
39,自古以来最可恨的不是敌人而是叛徒
40,自古以来最可恨的不是敌人而是叛徒
41,自古以来最可恨的不是敌人而是叛徒
42,自古以来最可恨的不是敌人而是叛徒
43,自古以来最可恨的不是敌人而是叛徒
44,自古以来最可恨的不是敌人而是叛徒
45,自古以来最可恨的不是敌人而是叛徒
46,役
47,自古以来最可恨的不是敌人而是叛徒
48,自古以来最可恨的不是敌人而是叛徒
49,罹
50,自古以来最可恨的不是敌人而是叛徒
51,自古以来最可恨的不是敌人而是叛徒
52,自古以来最可恨的不是敌人而是叛徒
53,感觉大部分人被手机滤镜
54,美颜功能已经洗脑了
55,都觉得自己人模狗样的吧
56,面对真实就抓狂了
57,托朋友
58,呵呵
59,就问你一句
60,你哪儿来的高清片源
61,新年唯一一个红包
62,这真的是广东
63,佛山吗
64,以前关注了
65,在一人吧看见这事
66,特意来取关
67,取关了
68,现在不是吗
69,全世界都一个样分什么呢
70,我还是想吐槽
71,中国人不长这样啊
72,广东踩狮头不等于拆人家祠堂
73,不怕被开片吗
74,吃枪子吧你
75,还子弹
76,你这钱收到安心吗
77,我做出我的选择
78,不看
79,剧情真的好吗
80,挣钱嘛不磕碜
81,每个人都有每个人的审美
82,偏向于大流的审美就该被喷
83,收了多少钱
84,取关了
85,滚吧
86,一个个眼睛跟外星人似
87,自卑警告
88,人物都这么丑
89,收了多少钱
90,说吧
91,这眼睛要不要这么鬼啊
92,作死呐
93,觉得这眼睛好看的那味
94,赶紧去做整容整成这鬼样
95,这造型跟几个猿人一样
96,你扯这么多话有用
97,就回答大家一句为什么眯眯眼宽眼距叼眼梢就行
98,不错
99,八点三为什么还用问
100,滚蛋吧
101,我就是奇怪
102,主角丑怪也就算了
103,这个女孩子长得也怪怪的
104,这阿娟也太邪门了
105,我在广东二十年
106,基本没见过
107,这就不是广东人
108,说一下就行了
109,下次改还不行吗
110,流量上天了
